"","DeployID","Ptt","DepthSensor","Source","Instr","Count","Start","End","LocationQuality","Latitude","Longitude","MinDepth","MinDepthAccuracy","MaxDepth","MaxDepthAccuracy","MinTemp","MinTempAccuracy","MaxTemp","MaxTempAccuracy","MobMean","MobSD","ActivitySum"
"93","ZcTag082",180754,1,"Transmission","Mk10",18,"12:00:00 13-May-2019","16:00:00 13-May-2019",NA,NA,NA,0,0,1296,15.5,NA,NA,NA,NA,NA,NA,NA
"94","ZcTag082",180754,1,"Transmission","Mk10",14,"16:00:00 13-May-2019","20:00:00 13-May-2019",NA,NA,NA,0,0,1520,15.5,NA,NA,NA,NA,NA,NA,NA
"95","ZcTag082",180754,1,"Transmission","Mk10",19,"20:00:00 13-May-2019","00:00:00 14-May-2019",NA,NA,NA,0,0,1584,15.5,NA,NA,NA,NA,NA,NA,NA
"96","ZcTag082",180754,1,"Transmission","Mk10",12,"00:00:00 14-May-2019","04:00:00 14-May-2019",NA,NA,NA,0,0,1904,15.5,NA,NA,NA,NA,NA,NA,NA
"97","ZcTag082",180754,1,"Transmission","Mk10",14,"04:00:00 14-May-2019","08:00:00 14-May-2019",NA,NA,NA,0,0,1040,15.5,NA,NA,NA,NA,NA,NA,NA
"98","ZcTag082",180754,1,"Transmission","Mk10",19,"08:00:00 14-May-2019","12:00:00 14-May-2019",NA,NA,NA,0,0,1072,15.5,NA,NA,NA,NA,NA,NA,NA
"99","ZcTag082",180754,1,"Transmission","Mk10",18,"12:00:00 14-May-2019","16:00:00 14-May-2019",NA,NA,NA,0,0,1232,15.5,NA,NA,NA,NA,NA,NA,NA
"100","ZcTag082",180754,1,"Transmission","Mk10",20,"16:00:00 14-May-2019","20:00:00 14-May-2019",NA,NA,NA,0,0,928,7.5,NA,NA,NA,NA,NA,NA,NA
"101","ZcTag082",180754,1,"Transmission","Mk10",15,"20:00:00 14-May-2019","00:00:00 15-May-2019",NA,NA,NA,0,0,1136,15.5,NA,NA,NA,NA,NA,NA,NA
"102","ZcTag082",180754,1,"Transmission","Mk10",19,"00:00:00 15-May-2019","04:00:00 15-May-2019",NA,NA,NA,0,0,1104,15.5,NA,NA,NA,NA,NA,NA,NA
