DeployID,Ptt,Instr,Date,Type,Quality,Latitude,Longitude,Error radius,Error Semi-major axis,Error Semi-minor axis,Error Ellipse orientation,Offset,Offset orientation,GPE MSD,GPE U,Count,Comment
ZcTag084,180753,Mk10,23:35:04 03-Jun-2019,Argos,0,35.6712,-75.1246,25598,73933,8862,70,,,,,,
ZcTag084,180753,Mk10,23:57:18 03-Jun-2019,Argos,B,35.7611,-74.9100,17035,25464,11395,88,,,,,,
ZcTag084,180753,Mk10,00:49:15 04-Jun-2019,Argos,A,34.7929,-72.7102,12127,192580,763,122,,,,,,Lat > 4 deviations from mean
ZcTag084,180753,Mk10,01:14:28 04-Jun-2019,Argos,Z,36.0830,-72.6371,81537,916345,7255,80,,,,,,Lon > 4 deviations from mean
ZcTag084,180753,Mk10,02:11:25 04-Jun-2019,Argos,Z,35.9440,-72.2925,177896,,,,,,,,,Lon > 4 deviations from mean
ZcTag084,180753,Mk10,02:31:53 04-Jun-2019,Argos,1,35.6533,-74.7329,1461,5508,387,4,,,,,,
ZcTag084,180753,Mk10,03:16:40 04-Jun-2019,Argos,0,35.7047,-74.9055,3475,10931,1104,17,,,,,,
ZcTag084,180753,Mk10,09:41:40 04-Jun-2019,Argos,0,35.7973,-74.9110,7525,112702,502,78,,,,,,
ZcTag084,180753,Mk10,13:13:14 04-Jun-2019,Argos,0,35.6322,-74.8194,7348,35024,1541,138,,,,,,
ZcTag084,180753,Mk10,13:14:44 04-Jun-2019,Argos,0,35.6537,-74.6838,15798,63367,3938,140,,,,,,
ZcTag084,180753,Mk10,14:33:22 04-Jun-2019,Argos,0,35.4627,-74.7748,9081,33326,2474,120,,,,,,
ZcTag084,180753,Mk10,14:55:07 04-Jun-2019,Argos,1,35.6268,-74.8219,1020,4431,234,130,,,,,,
ZcTag084,180753,Mk10,15:14:41 04-Jun-2019,Argos,0,35.7700,-74.7779,1646,6618,409,81,,,,,,
ZcTag084,180753,Mk10,19:27:10 04-Jun-2019,Argos,B,35.5892,-75.0371,12392,17209,8922,89,,,,,,
ZcTag084,180753,Mk10,21:12:47 04-Jun-2019,Argos,0,35.5440,-75.1793,5324,78194,362,60,,,,,,
ZcTag084,180753,Mk10,22:53:34 04-Jun-2019,Argos,0,35.7665,-74.8658,11896,68143,2076,58,,,,,,
ZcTag084,180753,Mk10,22:53:34 04-Jun-2019,Argos,0,35.4613,-75.2463,16733,108244,2586,52,,,,,,
