"","DeployID","Ptt","DepthSensor","Source","Instr","Day","Time","LocationQuality","Latitude","Longitude","Depth","DRange","Temperature","TRange","Activity","ARange"
"92","ZcTag092",180761,1,"Transmission","Mk10","30-Jul-2019","20:25:00",NA,NA,NA,28,10,NA,NA,NA,NA
"93","ZcTag092",180761,1,"Transmission","Mk10","30-Jul-2019","20:30:00",NA,NA,NA,203,22,NA,NA,NA,NA
"94","ZcTag092",180761,1,"Transmission","Mk10","30-Jul-2019","20:35:00",NA,NA,NA,258,41.5,NA,NA,NA,NA
"95","ZcTag092",180761,1,"Transmission","Mk10","30-Jul-2019","20:40:00",NA,NA,NA,258,41.5,NA,NA,NA,NA
"96","ZcTag092",180761,1,"Transmission","Mk10","30-Jul-2019","20:45:00",NA,NA,NA,166,22,NA,NA,NA,NA
"97","ZcTag092",180761,1,"Transmission","Mk10","30-Jul-2019","20:50:00",NA,NA,NA,9,9.5,NA,NA,NA,NA
"98","ZcTag092",180761,1,"Transmission","Mk10","30-Jul-2019","20:55:00",NA,NA,NA,405,43.5,NA,NA,NA,NA
"99","ZcTag092",180761,1,"Transmission","Mk10","30-Jul-2019","21:00:00",NA,NA,NA,884,88.5,NA,NA,NA,NA
"100","ZcTag092",180761,1,"Transmission","Mk10","30-Jul-2019","21:05:00",NA,NA,NA,1032,91,NA,NA,NA,NA
"101","ZcTag092",180761,1,"Transmission","Mk10","30-Jul-2019","21:10:00",NA,NA,NA,1032,91,NA,NA,NA,NA
"102","ZcTag092",180761,1,"Transmission","Mk10","30-Jul-2019","21:15:00",NA,NA,NA,884,88.5,NA,NA,NA,NA
"103","ZcTag092",180761,1,"Transmission","Mk10","30-Jul-2019","21:20:00",NA,NA,NA,884,88.5,NA,NA,NA,NA
"104","ZcTag092",180761,1,"Transmission","Mk10","30-Jul-2019","21:25:00",NA,NA,NA,884,88.5,NA,NA,NA,NA
"105","ZcTag092",180761,1,"Transmission","Mk10","30-Jul-2019","21:30:00",NA,NA,NA,884,88.5,NA,NA,NA,NA
"106","ZcTag092",180761,1,"Transmission","Mk10","30-Jul-2019","21:35:00",NA,NA,NA,884,88.5,NA,NA,NA,NA
"107","ZcTag092",180761,1,"Transmission","Mk10","30-Jul-2019","21:40:00",NA,NA,NA,590,84,NA,NA,NA,NA
"108","ZcTag092",180761,1,"Transmission","Mk10","30-Jul-2019","21:45:00",NA,NA,NA,479,45,NA,NA,NA,NA
