"","DeployID","Ptt","DepthSensor","Source","Instr","Day","Time","LocationQuality","Latitude","Longitude","Depth","DRange","Temperature","TRange","Activity","ARange","dive_labels"
"2959","ZcTag084",180753,1,"Transmission","Mk10","02-Jun-2019",19:20:00,NA,NA,NA,1121,97.5,NA,NA,NA,NA,495
"2960","ZcTag084",180753,1,"Transmission","Mk10","02-Jun-2019",19:25:00,NA,NA,NA,1121,97.5,NA,NA,NA,NA,495
"2961","ZcTag084",180753,1,"Transmission","Mk10","02-Jun-2019",19:30:00,NA,NA,NA,1121,97.5,NA,NA,NA,NA,495
"2962","ZcTag084",180753,1,"Transmission","Mk10","02-Jun-2019",19:35:00,NA,NA,NA,1121,97.5,NA,NA,NA,NA,495
"2963","ZcTag084",180753,1,"Transmission","Mk10","02-Jun-2019",19:40:00,NA,NA,NA,801,92.5,NA,NA,NA,NA,495
"2964","ZcTag084",180753,1,"Transmission","Mk10","02-Jun-2019",19:45:00,NA,NA,NA,641,90,NA,NA,NA,NA,495
"2965","ZcTag084",180753,1,"Transmission","Mk10","02-Jun-2019",19:50:00,NA,NA,NA,361,46,NA,NA,NA,NA,495
"2966","ZcTag084",180753,1,"Transmission","Mk10","02-Jun-2019",19:55:00,NA,NA,NA,180,23.5,NA,NA,NA,NA,495
"2967","ZcTag084",180753,1,"Transmission","Mk10","02-Jun-2019",20:00:00,NA,NA,NA,9,9.5,NA,NA,NA,NA,0
"2968","ZcTag084",180753,1,"Transmission","Mk10","02-Jun-2019",20:05:00,NA,NA,NA,250,39.5,NA,NA,NA,NA,496
"2969","ZcTag084",180753,1,"Transmission","Mk10","02-Jun-2019",20:10:00,NA,NA,NA,197,21,NA,NA,NA,NA,496
"2970","ZcTag084",180753,1,"Transmission","Mk10","02-Jun-2019",20:15:00,NA,NA,NA,125,20,NA,NA,NA,NA,0
"2971","ZcTag084",180753,1,"Transmission","Mk10","02-Jun-2019",20:20:00,NA,NA,NA,89,19.5,NA,NA,NA,NA,0
"2972","ZcTag084",180753,1,"Transmission","Mk10","02-Jun-2019",20:25:00,NA,NA,NA,250,39.5,NA,NA,NA,NA,497
