Tag,Date,Time,Lat,Long,DataSource,Vessel,Category,Error_in_m,SightingNo,Comments
ZcTag084,5/23/19,13:05:15,35.5325,-74.72448,Tracking,Barber,Approach,200,1a,
ZcTag084,5/27/19,14:13:50,35.69399,-74.73971,Sightings,Barber,Approach,200,1,
ZcTag084,5/27/19,14:52:24,35.69305,-74.74783,Tracking,Barber,Approach,200,1b,
ZcTag084,5/27/19,15:04:39,35.69392,-74.74145,Tracking,Barber,Approach,200,1c,
ZcTag084,5/27/19,16:35:47,35.6676,-74.74173,Tracking,Barber,Distant,1000,1e,
ZcTag084,5/27/19,16:54:30,35.67519,-74.74254,Tracking,Barber,Distant,1000,1f,
ZcTag084,5/28/19,13:35:29,35.65633,-74.72656,Sightings,Barber,Approach,200,1,
ZcTag085,5/27/19,14:13:50,35.69399,-74.73971,Sightings,Barber,Approach,200,1,initial sighting prior to tagging
ZcTag085,5/27/19,14:37:23,35.69289,-74.74636,Tagging,Barber,Approach,200,1,
ZcTag085,5/27/19,14:52:24,35.69305,-74.74783,Tracking,Barber,Approach,200,1b,
ZcTag085,5/27/19,15:04:39,35.69392,-74.74145,Tracking,Barber,Approach,200,1c,
ZcTag085,5/27/19,16:35:47,35.6676,-74.74173,Tracking,Barber,Distant,1000,1e,
ZcTag085,5/27/19,16:54:30,35.67519,-74.74254,Tracking,Barber,Distant,1000,1f,
ZcTag085,5/28/19,14:11:33,35.614208,-74.741083,Tracking,Barber,Gonio,2500,,
ZcTag085,5/28/19,14:34:26,35.59679,-74.73243,Sightings,Barber,Approach,200,2,
ZcTag085,5/28/19,15:36:07,35.60009,-74.73462,Tracking,Barber,Approach,200,2a,
ZcTag085,5/28/19,15:59:13,35.59382,-74.72682,Tracking,Barber,Approach,200,2b,
ZcTag085,6/2/19,16:30:51,35.591685,-74.768165,Tracking,Hog Wild,Fluke,50,8,down time  
ZcTag085,6/2/19,17:26:13,35.592792,-74.773728,Tracking,Hog Wild,Fluke,50,8,
ZcTag085,6/2/19,17:44:50,35.592175,-74.774707,Tracking,Hog Wild,Fluke,50,8,
ZcTag086,5/28/19,16:21:45,35.59569,-74.73007,Tagging,Barber,Approach,200,3,Initial sighting time and lat long not entered as tagged on first sighting
ZcTag086,6/2/19,12:21:53,35.55443,-74.71551,Tracking,Barber,Gonio,2500,,
ZcTag086,6/2/19,13:17:15,35.5587,-74.72572,Tracking,Barber,Gonio,2500,,
ZcTag086,6/2/19,13:40:24,35.55529,-74.7293,Sightings,Barber,Approach,200,1,
ZcTag086,6/4/19,12:19:10,35.53272,-74.77911,Tracking,Hog Wild,Gonio,2500,,
ZcTag086,6/4/19,13:07:35,35.55059,-74.73294,Tracking,Hog Wild,Gonio,2500,,
ZcTag086,6/7/19,12:37:45,35.48707,-74.78691,Tracking,Kahuna,Gonio,2500,,
ZcTag086,6/7/19,14:41:42,35.4514,-74.78213,Tracking,Barber,Gonio,2500,,
ZcTag086,6/7/19,13:35:30,35.48428,-74.78926,Tracking,Barber,Approach,200,3,CEE day
ZcTag087,6/2/19,14:17:25,35.60002,-74.72552,Tagging,Barber,Approach,200,2,didn't enter sighting lat long as on same approach
ZcTag087,6/2/19,15:34:41,35.60248,-74.75293,Tracking,Barber,Gonio,2500,,
ZcTag087,6/2/19,16:17:42,35.57847,-74.73258,Sightings,Barber,Approach,200,6,87 again with different buddies (tagging s of 89)
ZcTag087,6/2/19,16:34:21,35.57707,-74.73451,Tracking,Barber,Approach,200,6a,
ZcTag087,6/2/19,17:32:57,35.56448,-74.72655,Tracking,Barber,Distant,1000,6b,
ZcTag087,6/2/19,17:55:27,35.568521,-74.727491,Tracking,Barber,Approach,200,,
ZcTag087,6/2/19,18:19:09,35.576198,-74.729401,Tracking,Barber,Gonio,2500,,
ZcTag087,6/2/19,17:53:49,35.57678,-74.72808,Sightings,Barber,Approach,200,7,"new grouping of animals, so new sighting number"
ZcTag088,6/2/19,14:30:09,35.61077,-74.72195,Sightings,Barber,Approach,200,3,
ZcTag088,6/2/19,14:32:21,35.60905,-74.72336,Tagging,Barber,Approach,200,3,
ZcTag088,6/2/19,14:55:37,35.6074,-74.72586,Tracking,Barber,Approach,200,3a,down time of dive
ZcTag088,6/2/19,16:17:00,35.58081,-74.72843,Sightings,Barber,Approach,200,5,
ZcTag088,6/2/19,17:04:25,35.56679,-74.72209,Tracking,Barber,Distant,1000,5a,
ZcTag088,6/4/19,12:12:03,35.53488,-74.79567,Tracking,Hog Wild,Gonio,2500,,
ZcTag088,6/4/19,13:08:08,35.55059,-74.73294,Tracking,Hog Wild,Gonio,2500,,
ZcTag088,6/4/19,13:30:13,35.52542,-74.74071,Tracking,Hog Wild,Gonio,2500,,
ZcTag088,6/4/19,13:54:27,35.50839,-74.73313,Tracking,Hog Wild,Gonio,2500,,
ZcTag088,6/4/19,14:36:16,35.51975,-74.72521,Tracking,Hog Wild,Gonio,2500,,
ZcTag088,6/4/19,14:53:51,35.52134,-74.71755,Tracking,Hog Wild,Gonio,2500,,
ZcTag088,6/4/19,16:10:27,35.5097,-74.71306,Tracking,Hog Wild,Gonio,2500,,
ZcTag088,6/4/19,16:35:41,35.49605,-74.7174,Tracking,Hog Wild,Approach,200,2,
ZcTag088,6/4/19,16:57:55,35.49766,-74.71609,Tracking,Hog Wild,Fluke,50,2,
